t_index	term	df
1	0	165
2	00	6
3	000	486
4	0001	1
5	000bn	1
6	000m	22
7	000s	1
8	000th	4
9	001	1
10	001and	1
11	001st	1
12	004	1
13	0051	1
14	007	4
15	01	7
16	0100	2
17	011	2
18	0130	2
19	02	2
20	0200	1
21	0227	1
22	028	3
23	03	6
24	0300	1
25	033	1
26	037	1
27	03bn	1
28	04	6
29	0400	2
30	041	1
31	04bn	2
32	04m	1
33	04sec	2
34	05	10
35	050	1
36	050505	1
37	0530	1
38	0530gmt	1
39	056	2
40	05bn	2
41	05m	1
42	06	7
43	060	1
44	0619	1
45	0630	1
46	069	1
47	06bn	1
48	07	6
49	070	1
50	0700	1
51	0710	1
52	072	1
53	0730	1
54	07bn	2
55	08	1
56	080	2
57	0800	3
58	081	1
59	0845	1
60	086	1
61	0870	1
62	088	1
63	08bn	2
64	09	2
65	0900	3
66	093	1
67	0950	1
68	09bn	1
69	09sec	1
70	1	554
71	10	429
72	100	165
73	1000	1
74	1000m	2
75	1000th	1
76	100bn	4
77	100m	44
78	100ml	1
79	100s	1
80	101	7
81	102	11
82	102m	2
83	103	5
84	1030	2
85	103m	1
86	104	13
87	104m	2
88	105	5
89	105bn	1
90	105m	2
91	106	4
92	106cm	1
93	106m	2
94	107	2
95	108	3
96	1080	1
97	109	1
98	109m	1
99	10bn	19
100	10cm	1
101	10ft	1
102	10k	1
103	10km	2
104	10m	11
105	10s	1
106	10sec	1
107	10th	16
108	10x7in	1
109	11	200
110	110	17
111	1100	1
112	110m	5
113	110th	1
114	111	5
115	1115	1
116	111m	2
117	112	4
118	113	4
119	1130	2
120	1130p	1
121	113bn	1
122	113th	1
123	114	2
124	115	6
125	116	2
126	116i	1
127	117	3
128	117m	1
129	117th	1
130	118	2
131	118m	1
132	119	2
133	119bn	1
134	119m	1
135	11b	1
136	11bn	16
137	11m	4
138	11pm	3
139	11th	11
140	12	234
141	120	25
142	1200	5
143	1200m	1
144	120bn	1
145	120gb	2
146	120m	5
147	121	2
148	1215	1
149	1218	1
150	1230	3
151	124bn	1
152	125	11
153	125m	4
154	126	1
155	127	1
156	127th	2
157	128	4
158	129	1
159	12a	1
160	12bn	7
161	12cm	2
162	12km	1
163	12m	4
164	12th	8
165	13	140
166	130	8
167	1300	3
168	130cm	1
169	130m	2
170	131	2
171	132	4
172	133	6
173	1330	2
174	1337	1
175	133m	2
176	134	3
177	134m	1
178	135	4
179	135m	3
180	136	2
181	136m	3
182	137	3
183	137m	2
184	138m	4
185	138p	1
186	139	3
187	13bn	6
188	13m	11
189	13s	1
190	13sec	1
191	13th	6
192	14	126
193	140	12
194	1400	3
195	1405	1
196	140bn	1
197	140m	3
198	141	1
199	141m	1
200	142	1
201	142bn	1
202	142m	1
203	143	1
204	1430	1
205	143m	1
206	144	4
207	1441	1
208	144m	1
209	145	2
210	145m	1
211	146	3
212	146m	1
213	147	2
214	148	2
215	149	4
216	1497	1
217	149bn	1
218	14bn	7
219	14m	5
220	14mbps	2
221	14th	4
222	15	181
223	150	41
224	1500	3
225	1500m	17
226	150bn	1
227	150m	5
228	150th	1
229	151	3
230	151m	1
231	152	2
232	152m	3
233	153	2
234	153m	2
235	154m	2
236	155	4
237	155bn	2
238	155m	1
239	156	1
240	156m	1
241	157	4
242	157m	2
243	158	4
244	158th	1
245	159	2
246	15bn	3
247	15m	5
248	15mb	1
249	15mbps	1
250	15s	2
251	15th	11
252	16	136
253	160	3
254	1600	1
255	1600s	1
256	1606	1
257	160bn	2
258	160gb	1
259	160m	4
260	161	2
261	162	5
262	162bn	1
263	162m	1
264	163	5
265	163m	1
266	164	2
267	1642	1
268	165	1
269	1650	1
270	165bn	1
271	166	2
272	166bn	1
273	167	6
274	1670	1
275	168	3
276	1689	1
277	168m	1
278	169	1
279	1695	1
280	16bn	10
281	16k	2
282	16m	3
283	16s	1
284	16th	4
285	17	149
286	170	9
287	1700	3
288	1701	2
289	170bn	1
290	170m	2
291	171	2
292	172	1
293	1723	1
294	1727	1
295	1728	1
296	173	4
297	1731	2
298	173m	1
299	174	1
300	175	2
301	175m	1
302	1761	2
303	177	2
304	1774	1
305	1776	2
306	178	5
307	178m	2
308	179	2
309	17bn	4
310	17m	9
311	17th	6
312	18	180
313	180	13
314	1800	1
315	1800gmt	1
316	1800s	1
317	1801	1
318	180bn	7
319	1812	1
320	1815	1
321	182	3
322	183	1
323	1830	3
324	1831	1
325	1834	1
326	184	2
327	1848	1
328	184m	2
329	185	4
330	1857	2
331	186	1
332	1865	1
333	186m	1
334	187	3
335	1870	1
336	1871	1
337	1875	1
338	187m	1
339	187th	1
340	188	1
341	1888	1
342	189	4
343	1891	2
344	1893	1
345	18bn	2
346	18m	5
347	18mbps	1
348	18s	5
349	18th	6
350	19	99
351	190	7
352	1900	6
353	1903	1
354	1904	1
355	1905	1
356	1906	1
357	1908	2
358	190bn	1
359	190m	2
360	191	4
361	1910	1
362	1911	1
363	1912	2
364	1915	1
365	1917	2
366	191m	1
367	192	1
368	1920	3
369	1920s	1
370	1921	1
371	1922	1
372	1924	1
373	1925	1
374	1927	1
375	1928	1
376	1929	2
377	193	1
378	1930	3
379	1930s	5
380	1934	2
381	1935	4
